critere,critere_type,condition,nct_id,nb_etudes
"Major surgery within the last 3 months, or minor surgery (requiring local anesthetic) during last 1 month, or any planned surgery during the trial.",exclusion,healthy,['NCT07090889'],1
Male or female \>=18 years and \<80 years of age,inclusion,hypertension,['NCT05732727'],1
"Male or female child with a genetically confirmed diagnosis of PWS (patients can be enrolled if the genetic subtype is not available at inclusion, but the genetic subtype needs to be confirmed during the study);",inclusion,obesity,['NCT05032326'],1
Male or female patients ≤18 years old,exclusion,breast cancer,['NCT03017573'],1
Male or female patients ≥ 18 years of age,inclusion,breast cancer,['NCT03017573'],1
Male or female patients aged 18 years or older,inclusion,breast cancer,['NCT04985266'],1
Male subjects: Non-sterilized male subjects who are not abstinent and intend to be sexually active with a female partner of childbearing potential must use a male condom from consent through 90 days after the last dose of IP.,inclusion,hypertension,['NCT06274801'],1
"Malnourished patient (BMI \<18.5 kg / m2, weight loss greater than 5% in 1 month or 10% in 6 months)",exclusion,obesity,['NCT03008525'],1
Man or woman older than 18 years oldRight-handed,inclusion,depression,['NCT05894980'],1
"Medical history requiring anticoagulation (antiphospholipid syndrome, deep vein thromboembolic disease, pulmonary embolism, atherothrombosis, patient with mechanical heart valves),",exclusion,hypertension,['NCT04356326'],1
Medical insurance coverage,inclusion,hypertension,['NCT06687265'],1
Medical problems due to alcohol.,exclusion,healthy,['NCT06821126'],1
"Medically stable on medical assessment, with no contraindications to stroke rehabilitation management management (no medical problems or acute intercurrent medical events),",inclusion,stroke,['NCT05315726'],1
Medications interfering with intestinal microbiota (beta-lactamines within 3 months before the study or laxatives),exclusion,obesity,['NCT05783466'],1
Membership of a French social security scheme or beneficiary of such a scheme.,inclusion,healthy,['NCT06864065'],1
Men and women aged between 18 and 65 years,inclusion,obesity,['NCT05364957'],1
Men and women between 18-70 years,inclusion,obesity,['NCT05783466'],1
Menopausal women,exclusion,healthy,['NCT06746220'],1
Metabolic disease requiring a a low protein diet,exclusion,obesity,['NCT04934826'],1
metallic glitter in the eyes,exclusion,healthy,['NCT05036629'],1
Mineralocorticoid receptor antagonists,exclusion,hypertension,['NCT05732727'],1
Minimal abduction of the hip of 25 degrees bilateral with no history of hip dislocation and/or dysplasia,inclusion,stroke,['NCT04759326'],1
minute walking test on day of inclusion,inclusion,depression,['NCT03810482'],1
minute walking test on day of inclusion,inclusion,hypertension,['NCT03810482'],1
Misunderstanding of the protocol,exclusion,obesity,['NCT04994665'],1
MRI contraindications,exclusion,stroke,['NCT05378126'],1
"Mucocutaneous disease with vulvovaginal localization: infection, sore, scleratrophic lichen, psoriasis, eczema, etc.",exclusion,breast cancer,['NCT06900374'],1
Multidisciplinary follow-up of at least 6 months before surgery,inclusion,obesity,['NCT04994665'],1
Must not be taking any medication that could potentially impair hepatic or renal function at the time of screening.,inclusion,healthy,['NCT07090889'],1
Need for at least one paracentesis for ascites fluid evacuation in the last 6 months,exclusion,hypertension,['NCT06687265'],1
Negative serum or urine beta HCG pregnancy test within 5 weeks prior to randomization.,inclusion,breast cancer,['NCT05896566'],1
"Negative serum pregnancy test at screening, and negative urinary pregnancy test at Day -1.",inclusion,healthy,['NCT07090889'],1
Neo- or adjuvant chemotherapy followed by radiotherapy;,inclusion,breast cancer,['NCT06418126'],1
Neoadjuvant chemotherapy (chemotherapy prior to surgery),inclusion,breast cancer,['NCT04985266'],1
Neoadjuvant endocrine therapy (endocrine based therapy prior to surgery) Use the primary surgery criteria - staging tumour size and lymph node status may be either the pathological staging after endocrine therapy or on the initial clinical staging prior to neoadjuvant therapy,inclusion,breast cancer,['NCT04985266'],1
Neurodegenerative disease with perineal involvement,exclusion,breast cancer,['NCT06900374'],1
Neurological or psychiatric co-morbidity (other than mild-to-moderate post-stroke depression),exclusion,stroke,['NCT04759326'],1
"Neurological or psychiatric condition known to affect pain tolerance (e.g., peripheral neuropathy, schizophrenia)",exclusion,healthy,['NCT04423874'],1
Neurological or psychiatric illnesses or a history of such problems that could impact quality/variability of data or cooperation and retention of the subject in the study,exclusion,healthy,['NCT04457622'],1
New York Heart Association (NYHA) severity classes II to IV,inclusion,depression,['NCT03810482'],1
New York Heart Association (NYHA) severity classes II to IV,inclusion,hypertension,['NCT03810482'],1
New York Heart Association functional HF class IV at screening.,exclusion,hypertension,['NCT06268873'],1
"Newly diagnosed treatment-naïve cervical cancer patients (1) stage Ia - IIa1 with nodal metastasis, postoperative positive margin or parametrial-vaginal involvement, and (2) stage ≥IIa2).",inclusion,breast cancer,['NCT03017573'],1
Newly diagnosed treatment-naïve head and neck cancer patients eligible for surgery,inclusion,breast cancer,['NCT03017573'],1
Newly diagnosed treatment-naïve ovarian cancer patients eligible for surgery or neoadjuvant chemotherapy,inclusion,breast cancer,['NCT03017573'],1
Newly diagnosed treatment-naïve sarcoma cancer patients (1) breast angiosarcoma or (2) uterine sarcoma eligible for surgery or systemic treatment,inclusion,breast cancer,['NCT03017573'],1
Newly diagnosed treatment-naïve triple-negative breast cancer patients eligible for surgery or neoadjuvant chemotherapy,inclusion,breast cancer,['NCT03017573'],1
NIHSS score ≥ 5,inclusion,stroke,['NCT07065929'],1
No consent form,exclusion,stroke,['NCT04621357'],1
No contraindications to study medication as determined by the Investigator.,inclusion,healthy,['NCT07090889'],1
No coverage by a social security regime;,exclusion,obesity,['NCT05032326'],1
No evidence of distant metastasis at time of diagnosis;,inclusion,breast cancer,['NCT06418126'],1
No evidence of macroscopic distant metastatic disease or incurable locally advanced disease on staging scans conducted at any time since initial diagnosis.,inclusion,breast cancer,['NCT04985266'],1
No evidence of progression for at least 6 months on an AI/CDKi combination for advanced breast cancer.,inclusion,breast cancer,['NCT05696626'],1
No history of alcohol or other drugs of abuse.,inclusion,healthy,['NCT07090889'],1
No social security cover,exclusion,depression,['NCT06351501'],1
No vaccines given within 14 days of dosing.,inclusion,healthy,['NCT07090889'],1
Non epithelial breast cancer,exclusion,breast cancer,['NCT05981326'],1
Non-affiliation to a social security regimen or any other social protection regimen,exclusion,depression,['NCT05952674'],1
Non-cancerous subject,exclusion,obesity,['NCT03008525'],1
Non-opposition of the subject to participate in the study.,inclusion,healthy,['NCT06864065'],1
Non-randomisation criteria: HVPG \< 12 mm Hg at the catheterism performed during the first follow-up visit,exclusion,hypertension,['NCT06687265'],1
Non-smoking and no use of any tobacco or nicotine products (by declaration) for a period of at least 1 month prior to screening visit.,inclusion,healthy,['NCT07090889'],1
Normal hearing,inclusion,healthy,['NCT04457622'],1
Normal hematologic status,inclusion,breast cancer,['NCT05896566'],1
Normal liver function,inclusion,breast cancer,['NCT05896566'],1
Normal MRI findings excepted intracranial TVS stenosis or IIH related abnormalities,inclusion,hypertension,['NCT06945848'],1
Normal renal function,inclusion,breast cancer,['NCT05896566'],1
"Not covered by national health insurance,",exclusion,stroke,['NCT05315726'],1
"Not requiring steroids up to 4 weeks before study treatment initiation, AND",inclusion,breast cancer,['NCT05696626'],1
Not using prescription medication 14 days prior to admission; and 7 days prior to admission for over the counter (OTC) medication/vitamins/supplements.,inclusion,healthy,['NCT07090889'],1
Note: Participation in an observational study is allowed.,exclusion,healthy,['NCT06821126'],1
obtaining a signed informed consent by a relative (or the person of trust) after clear and fair information about the study.,inclusion,stroke,['NCT04282629'],1
Occurrence of a major complication (haemorrhagic or ischaemic) documented during the procedure of securing the aneurysm and endangering the short-term vital prognosis,exclusion,stroke,['NCT04282629'],1
On concomitant strong CYP3A4 inhibitors.,exclusion,breast cancer,['NCT05696626'],1
On strong and moderate CYP3A4 inducers.,exclusion,breast cancer,['NCT05696626'],1
One asthma exacerbation in the 4 weeks leading up to the inclusion visit or IGB placement.,exclusion,obesity,['NCT05364957'],1
"Ongoing condition that may lead to acute kidney injury or hypoxia: dehydration, severe infection, shock, cardiac decompensation, respiratory failure, or myocardial infarction within the past month",exclusion,hypertension,['NCT06687265'],1
Ongoing participation in another interventional therapeutic trial,exclusion,hypertension,['NCT06687265'],1
"Ongoing treatment with metformin, or discontinued for less than 3 months",exclusion,hypertension,['NCT06687265'],1
Ongoing urinary tract infection,exclusion,breast cancer,['NCT06900374'],1
"Opposition of the patient to participation in the study,",exclusion,obesity,['NCT06538220'],1
Optic nerve atrophy,exclusion,hypertension,['NCT06945848'],1
orthopedic devices or implants,exclusion,healthy,['NCT04457622'],1
Orthostatic hypotension,exclusion,hypertension,['NCT05732727'],1
"Other liver disease: alcohol consumption exceeding 20 g / day for women and 30g / day in men, HBV, HCV, CBP, CSP, autoimmune hepatitis, hemochromatosis, Wilson's disease, alpha-1 antitrypsin.",exclusion,obesity,['NCT03472157'],1
Other malignancy treated within the last 5 years (except non-melanoma skin cancer or in situ carcinoma of the cervix),exclusion,breast cancer,['NCT05981326'],1
"Other severe acute or chronic medical or psychiatric condition or laboratory abnormality that may increase the risk associated with study participation or investigational product administration or may interfere with the interpretation of study results and, in the judgment of the investigator, would make the patient inappropriate for entry into this study.",exclusion,breast cancer,['NCT05896566'],1
Outpatient consulting at the hospital on the day of inclusion,inclusion,depression,['NCT03810482'],1
Outpatient consulting at the hospital on the day of inclusion,inclusion,hypertension,['NCT03810482'],1
Over 18 and under 60 years of age,inclusion,obesity,['NCT04934826'],1
over 18 years old,inclusion,depression,['NCT06035731'],1
Overweight (≥ 110 kg),exclusion,stroke,['NCT04759326'],1
Pacemaker,exclusion,breast cancer,['NCT06900374'],1
Pain preventing the test from being performed,exclusion,healthy,['NCT06754774'],1
Participant covered by or entitled to social security,inclusion,hypertension,['NCT05732727'],1
Participant in good health,inclusion,healthy,['NCT04423874'],1
Participant under guardianship or curators,exclusion,healthy,['NCT06746220'],1
"Participant who received informed information about the study and co-signed, with the investigator, a consent to participate in the study",inclusion,healthy,['NCT04423874'],1
Participants affiliated to a social security scheme or beneficiaries of such a scheme,inclusion,healthy,['NCT05036629'],1
Participants affiliated with a social protection system.,inclusion,healthy,['NCT06676839'],1
Participants aged 65 years and older.,inclusion,healthy,['NCT06676839'],1
Participants in a relationship with a person participating in the study.,exclusion,healthy,['NCT06676839'],1
Participants included in phase I will not be included in phase II.,exclusion,healthy,['NCT06821126'],1
Participants living in a dependent elderly care facility.,exclusion,healthy,['NCT06676839'],1
"Participants living independently at home (ADL = 6, except for an occasional urinary abnormality which will be accepted).",inclusion,healthy,['NCT06676839'],1
"Participants of any sex and gender must be ≥ 18 years old, or older, at the time of signing the informed consent.",inclusion,hypertension,['NCT06268873'],1
Participants participating in another interventional research study.,exclusion,healthy,['NCT06676839'],1
"Participants showing functional decline in at least 2 of the 6 functional domains of ICOPE (mobility, cognition, nutrition, vision, hearing, and psychological well-being) identified using the ICOPE screening tool.",inclusion,healthy,['NCT06676839'],1
Participants unable to provide informed written consent.,exclusion,healthy,['NCT06676839'],1
Participants under administrative or judicial supervision,exclusion,healthy,['NCT05036629'],1
"Participants under legal protection (e.g., guardianship, tutorship).",exclusion,healthy,['NCT06821126'],1
"Participants under legal protection, guardianship, or trusteeship.",exclusion,healthy,['NCT06676839'],1
"Participants who are hepatitis B surface antigen (HBsAg) positive are eligible if they have received hepatitis B birus (HBV) antiviral therapy for at least 4 weeks, and have undetectable HBV viral load prior to randomization",inclusion,breast cancer,['NCT06393374'],1
Participants who are staff members at the investigational site directly involved in conducting the study.,exclusion,healthy,['NCT07090889'],1
Participants who donated blood or received blood or plasma derivatives in the 30 days preceding study drug administration.,exclusion,healthy,['NCT07090889'],1
Participants who has already benefited from the ICOPE program or who has completed more than one isolated step 1,exclusion,healthy,['NCT06676839'],1
Participants who have AEs due to previous anticancer therapies must have recovered to ≤Grade 1 or baseline (except alopecia),inclusion,breast cancer,['NCT06393374'],1
Participants who have given the signed informed consent before carrying out any procedure related to the study.,inclusion,healthy,['NCT05036629'],1
Participants with a disability preventing them from reaching the trial examination center without assistance (such as dementia or significant mobility impairment).,exclusion,healthy,['NCT06676839'],1
Participants with a life-threatening illness with a prognosis of less than 5 years.,exclusion,healthy,['NCT06676839'],1
"Participants with any abnormalities in clinical laboratory tests, and serology results, at screening, considered by the study physician as clinically significant.",exclusion,healthy,['NCT07090889'],1
"Participants with any acute medical situation (e.g., acute infection) within 48h of screening or start of dosing, which is considered of significance by the Investigator.",exclusion,healthy,['NCT07090889'],1
Participants with CKD and eGFR ≥ 30 and \< 90 mL/min/1.73 m2 at screening,inclusion,hypertension,['NCT06268873'],1
Participants with French as their mother tongue,inclusion,healthy,['NCT05036629'],1
"Participants with hearing, visual, or speech impairments preventing them from understanding instructions or communicating with study staff.",exclusion,healthy,['NCT06676839'],1
Participants with history of HTN and a SBP ≥ 130 mmHg at screening and ≥ 120 mmHg at the randomisation visit,inclusion,hypertension,['NCT06268873'],1
Participants with normal or corrected vision,inclusion,healthy,['NCT05036629'],1
participation in another clinical interventional study,exclusion,stroke,['NCT04282629'],1
Participation in another clinical trial or administration of an unapproved drug within the last 4 weeks before the screening date,exclusion,hypertension,['NCT06945848'],1
Participation in another interventional research,exclusion,obesity,['NCT04934826'],1
Participation in another ongoing study if the study may interfere with participation in the protocol MAP-IRMaGe.,exclusion,healthy,['NCT05036629'],1
"Participation in another trial within 60 days prior to the enrolment visit or planned participation during the present trial period in another clinical study investigating a vaccine, drug, medical device, or medical procedure.",exclusion,healthy,['NCT06821126'],1
Participation in other intervention research,exclusion,depression,['NCT06351501'],1
"Patient ≥ 18 years old,",inclusion,obesity,['NCT04994665'],1
Patient ≥18 years of age,inclusion,depression,['NCT05698589'],1
Patient able to read and write in French and who have signed an informed consent form,inclusion,stroke,['NCT06538974'],1
Patient affiliated or beneficiary of a social security scheme,inclusion,stroke,['NCT05224973'],1
Patient affiliated to a health insurance scheme,inclusion,stroke,['NCT06930131'],1
Patient affiliated to a social health insurance plan (beneficiary or beneficiary's family),inclusion,depression,['NCT05698589'],1
Patient affiliated to a social security organization,inclusion,breast cancer,['NCT06900374'],1
Patient affiliated to a social security system (excluding AME) or entitled to benefits.,inclusion,obesity,['NCT04934826'],1
Patient affiliated to a social security system.,inclusion,stroke,['NCT06538974'],1
Patient affiliated to or benefiting from a social security scheme,inclusion,stroke,['NCT07065929'],1
"Patient aged 18 or over,",inclusion,obesity,['NCT06538220'],1
Patient agrees to come to the study visits within the protocol-specified delay,inclusion,obesity,['NCT03472157'],1
Patient allergic to Latex,exclusion,stroke,['NCT06312631'],1
Patient already engaged in a therapeutic protocol,exclusion,hypertension,['NCT04520048'],1
"Patient and/or entourage who do not have access to teleconsultation, and/or can be reached remotely;",exclusion,stroke,['NCT06312631'],1
"Patient capable of passively opening the hand sufficient to grasp the glass when the gripping glove is put on, with the possibility of actively closing the hand;",inclusion,stroke,['NCT06312631'],1
Patient covered by the French social security system (for French patients).,inclusion,breast cancer,['NCT06418126'],1
Patient deprived of liberty (detained/incarcerated);,exclusion,stroke,['NCT06312631'],1
Patient deprived of liberty by judicial or administrative decision,exclusion,stroke,['NCT07065929'],1
Patient following any measures of legal presentation,exclusion,hypertension,['NCT05732727'],1
Patient having given informed consent,inclusion,depression,['NCT05632757'],1
Patient having received information about data collection and having signed and dated an Informed Consent Form,inclusion,hypertension,['NCT06945848'],1
Patient having signed the informed consent for the present study,inclusion,breast cancer,['NCT06900374'],1
"Patient identified by the network or referred by a healthcare professional,",inclusion,obesity,['NCT06538220'],1
Patient in a medical emergency or immediate life-threatening situation,exclusion,depression,['NCT05698589'],1
Patient in acute episode of their disorder according to the CGI Severity score,exclusion,depression,['NCT05698589'],1
Patient in an exclusion period determined by a previous or ongoing study,exclusion,depression,['NCT05698589'],1
"Patient included in another interventional study which could interfere with the results of the study,",exclusion,hypertension,['NCT04356326'],1
Patient informed of the results of the preliminary medical examination,inclusion,depression,['NCT05698589'],1
Patient insured under the French social security,inclusion,stroke,['NCT04621357'],1
Patient is at least 18 years of age.,inclusion,depression,['NCT05632757'],1
Patient is unwilling to refrain from using prohibited medications during the clinical trial.,exclusion,healthy,['NCT07090889'],1
Patient is willing and able to comply with the protocol for the duration of the study including undergoing treatment and scheduled visits and examinations including follow up.,inclusion,breast cancer,['NCT05981326'],1
Patient must be affiliated to a Social Health Insurance,inclusion,breast cancer,['NCT05981326'],1
Patient or close relative having given written consent to participate in the study or patient included under the emergency procedure in the absence of contactable relatives,inclusion,stroke,['NCT07065929'],1
Patient over 40 years,inclusion,breast cancer,['NCT06900374'],1
Patient participating at the same time in another study,exclusion,stroke,['NCT06538974'],1
Patient participating in an interventional study involving psychotherapy or an experimental drug,exclusion,depression,['NCT05698589'],1
Patient participating in another interventional clinical research protocol involving a drug or medical device,exclusion,obesity,['NCT04994665'],1
"Patient presenting retraction or stiffness of the fingers and wrist preventing complete extension of the long fingers and thumb, the wrist being at 15° extension;",exclusion,stroke,['NCT06312631'],1
"Patient receiving aspirin for another indication outside pregnancy,",exclusion,hypertension,['NCT04356326'],1
Patient requiring neoadjuvant chemotherapy,inclusion,breast cancer,['NCT05981326'],1
"Patient should agree to have one liver biopsy during the screening period (before randomization, the randomization will be permitted after at least a second reading performed by pathologist of CHRU Lille to confirm the histological diagnosis of NASH with advanced fibrosis (F3-F4)) for the diagnosis purpose (if no histological biopsy within 1 month before inclusion is available) and one at the end of the treatment period for assessment of the treatment effects.",inclusion,obesity,['NCT03472157'],1
"Patient suffering from a motor deficit of the upper limb resulting from an ischemic or hemorrhagic stroke, hemispheric or brainstem, confirmed by brain imaging ;",inclusion,stroke,['NCT06312631'],1
Patient suffering from lower limb weaknesses and / or deficiencies regardless of the cause,inclusion,stroke,['NCT06538974'],1
"Patient suffering from obesity defined by a BMI ≥ 30,",inclusion,obesity,['NCT06538220'],1
Patient taking part in another study with an impact on mortality or nutrition,exclusion,stroke,['NCT07065929'],1
Patient to be operated in first intention of a sleeve gastrectomy,inclusion,obesity,['NCT04994665'],1
Patient to have a 2-stage surgery (first sleeve gastrectomy then gastric bypass or Single Anastomosis Duodeno-Ileal bypass),exclusion,obesity,['NCT04994665'],1
Patient treated with aromatase inhibitors +/- LHRH agonist for at least 3 months with a planned remaining duration of at least 12 months,inclusion,breast cancer,['NCT06900374'],1
"Patient unable to actively extend long fingers (hand opening) to voluntarily grasp an empty glass (upper and lower diameter of 7 and 6 cm respectively, height of 12 to 15 cm, weight of 125g, identical to equipment used for ARAT), with a palmar grip (cylindrical grip), while the subject can hold the previously placed glass passively in the hand;",inclusion,stroke,['NCT06312631'],1
Patient unable to deliver his/her consent,exclusion,stroke,['NCT06538974'],1
Patient unable to follow the protocol for any reason,exclusion,stroke,['NCT07065929'],1
Patient unable to give consent,exclusion,breast cancer,['NCT06418126'],1
Patient unable to speak French,exclusion,breast cancer,['NCT06418126'],1
Patient under compulsory psychiatric care,exclusion,stroke,['NCT07065929'],1
Patient under guardianship or curatorship,exclusion,obesity,['NCT04934826'],1
"Patient under guardianship or tutorship, persons placed under the protection of justice or persons participating in another search including an exclusion period still in progress",exclusion,obesity,['NCT05364957'],1
"Patient under guardianship, curators or legal protection,P",exclusion,obesity,['NCT04994665'],1
Patient under judicial protection,exclusion,stroke,['NCT06312631'],1
"Patient under judicial protection (guardianship, curatorship, etc.) or safeguard of justice,",exclusion,obesity,['NCT06538220'],1
Patient under legal protection,exclusion,stroke,['NCT06538974'],1
Patient under legal protection.,exclusion,stroke,['NCT05378126'],1
Patient under the justice protection,exclusion,obesity,['NCT04934826'],1
Patient undergoing adjuvant treatment for breast cancer,inclusion,breast cancer,['NCT06900374'],1
"Patient undergoing bariatric surgery,",exclusion,obesity,['NCT06538220'],1
Patient who agreed to participate by signing the informed consent of the study,inclusion,obesity,['NCT04934826'],1
"Patient who are pregnant, breastfeeding, or who have the potential to become pregnant without effective contraception at the time of inclusion and up to 24 months after surgery",exclusion,obesity,['NCT04994665'],1
"Patient who has the capacity to understand the protocol and has given consent to participate in the research,",inclusion,obesity,['NCT04994665'],1
Patient who is a beneficiary of or affiliated with a social security plan,inclusion,depression,['NCT05632757'],1
Patient who suffered a stroke more than three months ago;,inclusion,stroke,['NCT06312631'],1
Patient who understands and speaks French.,inclusion,obesity,['NCT06538220'],1
"Patient with a cardiac or respiratory contraindication to physical exertion, at discretion of the physician",exclusion,stroke,['NCT06538974'],1
Patient with a motor handicap of grade 3 to 5 on the Rankin score,inclusion,depression,['NCT05632757'],1
"Patient with a primary family caregiver at home (spouse, child) willing to participate in the study",inclusion,depression,['NCT05632757'],1
Patient with a severe or fatal comorbidity that will likely prevent improvement or follow-up or that will render the procedure unlikely to benefit the patient.,exclusion,hypertension,['NCT06945848'],1
"Patient with a smartphone, tablet and/or computer compatible with video taking and teleconsultation.",inclusion,stroke,['NCT06312631'],1
Patient with ALS who has already had at least two multidisciplinary assessments in the ALS center in Marseille with an evaluation by the clinical psychologist.,inclusion,depression,['NCT05632757'],1
Patient with an active anterior shoulder elevation range of less than 15°;,exclusion,stroke,['NCT06312631'],1
Patient with contra-indication for bariatric surgery,exclusion,obesity,['NCT03472157'],1
Patient with elevated intracranial pressure defined as \> 25 cm H20 or 18 mmHg,inclusion,hypertension,['NCT06945848'],1
Patient with histologically confirmed breast cancer,inclusion,breast cancer,['NCT05981326'],1
"Patient with idiopathic pulmonary hypertension (PH), familial PH, or PH associated with various pathologies (groups I to IV of the international classification)",inclusion,depression,['NCT03810482'],1
"Patient with idiopathic pulmonary hypertension (PH), familial PH, or PH associated with various pathologies (groups I to IV of the international classification)",inclusion,hypertension,['NCT03810482'],1
"Patient with limited active elbow extension, not allowing the ipsilateral knee to be reached with the hand, the subject being seated with the trunk vertical (approach limitation);",exclusion,stroke,['NCT06312631'],1
Patient with moderate or severe muscular spasticity of the wrist flexors and the long and short flexors of the fingers and thumb (Modified Ashworth Scale ≥ 3);,exclusion,stroke,['NCT06312631'],1
"Patient with one or several diagnoses of chronic psychiatric disorder (schizophrenia, schizoaffective disorder, bipolar disorder, recurrent major depression, borderline personality disorder) or a neurodevelopmental disorder (autism spectrum disorder) treated as an outpatient or in a day hospital",inclusion,depression,['NCT05698589'],1
Patient with other upper limb deficiencies likely to influence participation;,exclusion,stroke,['NCT06312631'],1
Patient with pathologically confirmed TNBC (estrogen and progesterone receptor negative and HER2 negative);,inclusion,breast cancer,['NCT06418126'],1
"Patient with severe aphasia, Boston Diagnostic Aphasia Examination (BDAE) ≤ 3;",exclusion,stroke,['NCT06312631'],1
"Patient with significant proteinuria (\> 300mg/24 hours or a proteinuria/creatininuria ratio ≥ 30mg/mmol),",exclusion,hypertension,['NCT04356326'],1
Patient with social security coverage.,inclusion,obesity,['NCT04994665'],1
Patient with the ability to put on and remove the SaeboGlove® gripping glove with the help of a third person if necessary and/or available.,inclusion,stroke,['NCT06312631'],1
"Patient without health coverage,",exclusion,stroke,['NCT05378126'],1
Patient's foreseeable inability to participate in a clinical trial,exclusion,obesity,['NCT04934826'],1
Patients ≥ 18 years of age,inclusion,stroke,['NCT07065929'],1
Patients ≥18 years of age or over the legal age of consent in countries where that is greater than 18 years at the time of signature of the ICF.,inclusion,breast cancer,['NCT06324357'],1
Patients affiliated to a social security scheme,inclusion,hypertension,['NCT04520048'],1
Patients aged 18 years and older ;,inclusion,depression,['NCT05952674'],1
Patients considered in remission for at least 5 years after onset of treatment.,exclusion,obesity,['NCT03472157'],1
Patients included in the Fondation FondaMental cohort whose genetic analyses have revealed the need for comparative and functional genetic studies.,inclusion,depression,['NCT05480826'],1
Patients must have had surgery achieving clear margins (as per local guidelines),inclusion,breast cancer,['NCT04985266'],1
Patients not affiliated to the Social Security System,exclusion,breast cancer,['NCT03017573'],1
"Patients on neuroleptics,",exclusion,obesity,['NCT06538220'],1
Patients participating in other biomedical research or in a period of exclusion,exclusion,stroke,['NCT04759326'],1
Patients protected or unable to give consent according to Article L1121-8 of the French Public Health Code (CSP),exclusion,depression,['NCT03810482'],1
Patients protected or unable to give consent according to Article L1121-8 of the French Public Health Code (CSP),exclusion,hypertension,['NCT03810482'],1
"Patients receiving enforced cares (ASPDT, ASPPI, ASPDRE, etc.)",exclusion,depression,['NCT05952674'],1
"Patients receiving standard endocrine therapy with aromatase inhibitors (letrozole, anastrazole, exemestane), tamoxifen, or combination of such for a minimum of 6 months\* and maximum of 7 years duration with an additional three years of endocrine therapy planned. Pre- or peri-menopausal patients may also receive GnRH analogues.",inclusion,breast cancer,['NCT04985266'],1
Patients receiving State Medical Assistance,exclusion,hypertension,['NCT04520048'],1
Patients receiving topiramate in the previous month,exclusion,hypertension,['NCT06945848'],1
Patients Treated and believed to be cured basal or squamous cell carcinoma of the skin or resected carcinoma of the cervix,exclusion,obesity,['NCT03472157'],1
"Patients treated with nutritional therapy at the time of admission (history of bariatric surgery or gastrectomy, malabsorptive pathologies such as short bowel, extensive intestinal resections, etc.).",exclusion,stroke,['NCT07065929'],1
Patients unable to give consent (under guardianship or curatorship),exclusion,hypertension,['NCT06687265'],1
Patients unable to undergo regular long-term surveillance.,exclusion,breast cancer,['NCT06418126'],1
Patients under guardianship or trusteeship.,exclusion,breast cancer,['NCT06900374'],1
Patients under legal protective measures,exclusion,hypertension,['NCT04520048'],1
"Patients who are unable to complete self-questionnaires (language barrier, etc.)",exclusion,depression,['NCT06014125'],1
"Patients who had an acute cardiovascular episode, coronary Heart Disease (Angina pectoris, myocardial infarction, revascularization procedure), stroke or TIA (Transient Ischemic Attack) within the 6 months prior to screening Recent cardiovascular events (stroke, myocardial infarcts, etc...) in the past 6 months.",exclusion,obesity,['NCT03472157'],1
Patients who have signed a written informed consent form,inclusion,obesity,['NCT05364957'],1
"patients who underwent bariatric surgery in the weight stabilization phase (between 18 and 30 months after surgery) presenting dissatisfaction with their body image according to the BSQ (score ≥ 111), to be affiliated to the French social security system. The prior, free and informed consent of the patient shall be obtained.",inclusion,obesity,['NCT05460104'],1
"Patients who, after the nature of the study has been explained to them, have given written consent",inclusion,depression,['NCT05952674'],1
Patients willing to have frequent blood tests.,inclusion,breast cancer,['NCT04985266'],1
Patients with a contraindication to amino acid infusion,exclusion,obesity,['NCT04934826'],1
"Patients with an intellectual disability (IQ\<70) estimated via the fNART (Mackinnon \& Mulligan, 2005)",exclusion,depression,['NCT05698589'],1
"Patients with any psychological, familial, sociological or geographical condition potentially hampering compliance with the study protocol and follow-up schedule",exclusion,breast cancer,['NCT03017573'],1
"Patients with BMI \> 40 kg/m2 or BMI \> 35 kg/m2 associated with at least one comorbidity(s): hypertension, diabetes, cardiovascular disease, hyperlipidemia, sleep apnea, arthritis,hepatic steatosis.",inclusion,obesity,['NCT04934826'],1
"Patients with cancer with a risk of hypercalcemia (and associated hypercalciuria), linked to bone metastases.",exclusion,depression,['NCT06351501'],1
Patients with current or history of thromboembolic events.,exclusion,depression,['NCT06351501'],1
"patients with disabling nausea (Motion Sickness) from previous use of a virtual reality headset, patients who had from post-bariatric reconstructive surgery, epileptic patients, decompensation of a psychiatric pathology",exclusion,obesity,['NCT05460104'],1
Patients with epilepsy and migraine.,exclusion,depression,['NCT06351501'],1
Patients with gestational hypertension and/or preeclampsia from the 20th amenorrhea week until the 26th ± 2 amenorrhea week.,inclusion,hypertension,['NCT04520048'],1
"Patients with grade I obesity (BMI\> 30 kg/m² and \< 35 kg/m²) or morbid obesity (BMI\<40 or ≥35 kg/m² with serious physiological risks, as recommended by the French Health Authorities) with contraindications for or refusal of bariatric surgery.",inclusion,obesity,['NCT05364957'],1
Patients with health insurance,inclusion,obesity,['NCT05364957'],1
Patients with high risk early stage breast cancer according to at least one of the following criteria:,inclusion,breast cancer,['NCT04985266'],1
Patients with known anterior dysphagia,exclusion,stroke,['NCT05224973'],1
"Patients with known glucose-6-phosphate dehydrogenase deficiency,",exclusion,hypertension,['NCT04356326'],1
